id,filename_base,image_dir,mask_dir,training
0,0001,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
1,0002,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
2,0003,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
3,0004,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
4,0005,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
5,0006,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
6,0007,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
7,0008,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
8,0009,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
9,0010,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
10,0011,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
11,0012,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
12,0013,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
13,0014,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
14,0015,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
15,0016,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
16,0017,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
17,0018,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
18,0019,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
19,0020,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
20,0021,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
21,0022,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
22,0023,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
23,0024,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
24,0025,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
25,0026,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
26,0027,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
27,0028,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
28,0029,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
29,0030,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
30,0031,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
31,0032,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
32,0033,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
33,0034,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
34,0035,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
35,0036,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
36,0037,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
37,0038,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
38,0039,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
39,0040,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
40,0041,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
41,0042,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
42,0043,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,0
43,0044,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
44,0045,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
45,0046,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
46,0047,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
47,0048,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
48,0049,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
49,0050,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
50,0051,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
51,0052,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
52,0053,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
53,0054,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
54,0055,./dataset/clothing-co-parsing/images,./dataset/clothing-co-parsing/annotations,1
